
2022/06/30 (12:53:42) | ===> btop++ v.1.2.3
2022/06/30 (12:53:42) | ERROR: Failed to get size of terminal!

2024/12/13 (22:13:53) | ===> btop++ v.1.4.0
2024/12/13 (22:13:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (22:13:57) | ===> btop++ v.1.4.0
2024/12/13 (22:13:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (19:09:59) | ===> btop++ v.1.4.0
2025/01/06 (19:09:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (20:07:43) | ===> btop++ v.1.4.0
2025/01/24 (20:07:43) | WARNING: Intel GPU: Failed to initialize PMU
